s.no,moduleId,moduleName,errorMessage
138,13871,GOLA-H3DR1SKTDR-150mm Ht-DC,"Selected Width is 450, Which is outside the allowable limits (Min = 600, Max = 900)"
167,13850,W1S1FSBO-580 Ht-DC,"Selected Width is 300, Which is outside the allowable limits (Min = 450, Max = 600)"
171,13849,W1S1FSSF-DC,"Selected Depth is 318, Which is outside the allowable limits (Min = 300, Max = 300)"
163,13847,T2DR1S1FS-DC,"Error in zone : 2_163_13847_T2DR1S1FS-DC for module [Tall Cabinet 1 Shutter With 1 Fixed Shelf and 2 Bottom Drawers,13847] : Insufficient accessories. Minimum required: 2 got 1"
164,13847,T2DR1S1FS-DC,"Error in zone : 3_164_13847_T2DR1S1FS-DC for module [Tall Cabinet 1 Shutter With 1 Fixed Shelf and 2 Bottom Drawers,13847] : Insufficient accessories. Minimum required: 2 got 1"
150,13860,B2DR1SKTDR-100mm Ht-DC,"Error in zone : 9_150_13860_B2DR1SKTDR-100mm Ht-DC for module [Base Module  2 Drawer with Skirting Drawer 100,13860] : Insufficient accessories. Minimum required: 2 got 0"
151,13860,B2DR1SKTDR-100mm Ht-DC,"Error in zone : 10_151_13860_B2DR1SKTDR-100mm Ht-DC for module [Base Module  2 Drawer with Skirting Drawer 100,13860] : Insufficient accessories. Minimum required: 2 got 0"
142,13873,TOPIR-DC,"Selected Design[10300]/Sub-design[10102] is Invalid, Please Re-apply the applicable Sub-Design"
143,13873,TOPIR-DC,"Selected Design[10300]/Sub-design[10102] is Invalid, Please Re-apply the applicable Sub-Design"
159,13876,TPG2DR1GDR1S1FS-DC,"3rd Glass Facia required a glass details"
152,13861,B2DR1SKTDR-150mm Ht-DC,"Error in zone : 1_152_13861_B2DR1SKTDR-150mm Ht-DC for module [Base Module  2 Drawer  with Skirting Drawer 150,13861] : Insufficient accessories. Minimum required: 2 got 0"
153,13861,B2DR1SKTDR-150mm Ht-DC,"Error in zone : 2_153_13861_B2DR1SKTDR-150mm Ht-DC for module [Base Module  2 Drawer  with Skirting Drawer 150,13861] : Insufficient accessories. Minimum required: 2 got 0"
155,13844,H3DR1SKTDR-100mm Ht-DC,"Error in zone : 4_155_13844_H3DR1SKTDR-100mm Ht-DC for module [Base Hob Module 1 Skirting Drawer 100,13844] : Insufficient accessories. Minimum required: 3 got 0"
156,13844,H3DR1SKTDR-100mm Ht-DC,"Error in zone : 5_156_13844_H3DR1SKTDR-100mm Ht-DC for module [Base Hob Module 1 Skirting Drawer 100,13844] : Insufficient accessories. Minimum required: 3 got 0"
157,13844,H3DR1SKTDR-100mm Ht-DC,"Error in zone : 6_157_13844_H3DR1SKTDR-100mm Ht-DC for module [Base Hob Module 1 Skirting Drawer 100,13844] : Insufficient accessories. Minimum required: 3 got 0"
158,13844,H3DR1SKTDR-100mm Ht-DC,"Error in zone : 7_158_13844_H3DR1SKTDR-100mm Ht-DC for module [Base Hob Module 1 Skirting Drawer 100,13844] : Insufficient accessories. Minimum required: 3 got 0"
136,13870,GOLA-H3DR1SKTDR-100mm Ht-DC,"Selected Width is 450, Which is outside the allowable limits (Min = 600, Max = 900)"
107,14146,VFB-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 560)"
108,14146,VFB-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 560)"
123,13865,WDASHF-DC,"Selected Width is 450, Which is outside the allowable limits (Min = 1500, Max = 1500)"
101,14004,OPBKSHF&3DRHIDSHF-600W-DC,"Selected Width is 750, Which is outside the allowable limits (Min = 600, Max = 600)"
102,14004,OPBKSHF&3DRHIDSHF-600W-DC,"Selected Width is 900, Which is outside the allowable limits (Min = 600, Max = 600)"
104,14180,OMTF-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 600)"
105,14180,OMTF-DC,"Selected Depth is 18, Which is outside the allowable limits (Min = 330, Max = 600)"
180,13989,BS2DREXT-DC,"Selected Width is 1050, Which is outside the allowable limits (Min = 450, Max = 900)"
184,13983,TO1FSPL&GLSHF-DC,"Error in zone : 8_184_13983_TO1FSPL&GLSHF-DC for module [Tall Open 1Fixed Shelf Module with Wooden and glass Shelves,13983] : Insufficient accessories. Minimum required: 3 got 1"
185,13983,TO1FSPL&GLSHF-DC,"Error in zone : 9_185_13983_TO1FSPL&GLSHF-DC for module [Tall Open 1Fixed Shelf Module with Wooden and glass Shelves,13983] : Insufficient accessories. Minimum required: 3 got 2"
