s.no,moduleId,moduleName,errorMessage
53,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
54,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
55,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
56,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
57,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
58,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
39,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
45,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
47,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
48,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
51,13053,B1S-DC,"Edgeband [1.3*23_HGL110104_Metallic Beige.] is not applicable for DC"
52,13053,B1S-DC,"Selected shutter shade is invalid for Plain Shutter"
