s.no,moduleId,moduleName,errorMessage
5,10005,B2S-DC,"Selected B2S is not applicable for DC"
6,10022,SB2S-DC,"Selected SB2S is not applicable for DC"
15,10002,B1S-DC,"Selected B1S is not applicable for DC"
17,10023,B1SPO-DC,"Selected B1SPO is not applicable for DC"
16,10007,B2DR-DC,"Selected B2DR is not applicable for DC"
19,10026,W1S-DC,"Selected W1S is not applicable for DC"
20,10108,WAQ1S-DC,"Selected WAQ1S is not applicable for DC"
18,10012,H3DR-DC,"Selected H3DR is not applicable for DC"
5,10005,B2S-DC,"Error in zone : 1_5_10005_B2S-DC for module [Base Cabinet 2 Shutter,10005] : Insufficient accessories. Minimum required: 1 got 0"
15,10002,B1S-DC,"Error in zone : 3_15_10002_B1S-DC for module [Base Cabinet 1 Shutter,10002] : Insufficient accessories. Minimum required: 1 got 0"
16,10007,B2DR-DC,"Error in zone : 4_16_10007_B2DR-DC for module [Base Cabinet 2 Drawer,10007] : Insufficient accessories. Minimum required: 2 got 0"
17,10023,B1SPO-DC,"Error in zone : 5_17_10023_B1SPO-DC for module [Base Cabinet Bottle Pull Out,10023] : Insufficient accessories. Minimum required: 1 got 0"
18,10012,H3DR-DC,"Error in zone : 6_18_10012_H3DR-DC for module [Hob Cabinet 3 Drawer,10012] : Insufficient accessories. Minimum required: 3 got 0"
19,10026,W1S-DC,"Error in zone : 7_19_10026_W1S-DC for module [Wall Cabinet 1 Shutter,10026] : Insufficient accessories. Minimum required: 1 got 0"
1,14191,S1DR-430D-DC,"Selected Width is 1200, Which is outside the allowable limits (Min = 400, Max = 900)"
2,13822,T2S-S-DC,"Selected Width is 550, Which is outside the allowable limits (Min = 800, Max = 900)"
7,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
8,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
10,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
9,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
11,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
12,13761,LF&S-1S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
4,14004,OPBKSHF&3DRHIDSHF-600W-DC,"Selected Width is 750, Which is outside the allowable limits (Min = 600, Max = 600)"
13,13759,LF&S-2S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
14,13759,LF&S-2S-DC,"Selected Depth is 80, Which is outside the allowable limits (Min = 100, Max = 100)"
24,14191,S1DR-430D-DC,"Selected Depth is 350, Which is outside the allowable limits (Min = 430, Max = 430)"
25,14191,S1DR-430D-DC,"Selected Depth is 350, Which is outside the allowable limits (Min = 430, Max = 430)"
26,13822,T2S-S-DC,"Selected Width is 600, Which is outside the allowable limits (Min = 800, Max = 900)"
23,14004,OPBKSHF&3DRHIDSHF-600W-DC,"Selected Width is 350, Which is outside the allowable limits (Min = 600, Max = 600)"
