s.no,moduleId,moduleName,errorMessage
105,12733,DW-VB-EP,"Selected core is invalid for End Panel"
106,11828,DW-VW1SMP,"Selected core is invalid for Plain Shutter"
107,12461,DW-VW1SMPR,"Selected core is invalid for Plain Shutter"
98,12475,DW-ST2DRBTM-Left,"Replace this module with new module to support Inset/Inline skirting."
99,12476,DW-ST2DRBTM-Right,"Replace this module with new module to support Inset/Inline skirting."
41,11556,DW-C-T1GS1DR1S,"Replace this module with new module to support Inset/Inline skirting."
42,11559,DW-C-T2GS2DR2S,"Replace this module with new module to support Inset/Inline skirting."
43,11558,DW-C-T2GS2S,"Replace this module with new module to support Inset/Inline skirting."
