s.no,moduleId,moduleName,errorMessage
269,13466,Gola-H2S1DR-v1-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
268,13465,Gola-H1S1DR-v1-DC,"Error in zone : 5_268_13465_Gola-H1S1DR-v1-DC for module [Gola Hob Cabinet 1 Shutter 1 Drawer-Version 1,13465] : Insufficient accessories. Minimum required: 2 got 1"
269,13466,Gola-H2S1DR-v1-DC,"Error in zone : 6_269_13466_Gola-H2S1DR-v1-DC for module [Gola Hob cabinet 2 Shutter 1 Drawer-Version 1,13466] : Insufficient accessories. Minimum required: 2 got 0"
262,13459,H1S1DR-v1-DC,"Error in zone : 6_262_13459_H1S1DR-v1-DC for module [Hob Cabinet 1 Shutter 1 Drawer-Version 1,13459] : Insufficient accessories. Minimum required: 2 got 1"
263,13460,H2S1DR-v1-DC,"Error in zone : 7_263_13460_H2S1DR-v1-DC for module [Hob Cabinet 2 Shutter 1 Drawer-Version 1,13460] : Insufficient accessories. Minimum required: 2 got 1"
244,13431,GP-WDL-DC,"Error in zone : 4_244_13431_GP-WDL-DC for module [G Profile-Wall Cabinet 2 Shutter Dual Lift Up,13431] : Insufficient accessories. Minimum required: 1 got 0"
246,13433,GP-WDL-430D-DC,"Error in zone : 6_246_13433_GP-WDL-430D-DC for module [G Profile-Wall Cabinet 2 Shutter Dual Lift Up-430D,13433] : Insufficient accessories. Minimum required: 1 got 0"
214,13396,GP-B2S1DR-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
215,13397,GP-H2S1DR-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
211,13393,GP-H4DR-DC,"Error in zone : 1_211_13393_GP-H4DR-DC for module [G Profile-Hob Cabinet 4 Drawer,13393] : Insufficient accessories. Minimum required: 4 got 0"
213,13395,GP-H1S1DR-DC,"Error in zone : 3_213_13395_GP-H1S1DR-DC for module [G Profile-Hob Cabinet 1 Shutter 1 Drawer,13395] : Insufficient accessories. Minimum required: 2 got 1"
214,13396,GP-B2S1DR-DC,"Error in zone : 4_214_13396_GP-B2S1DR-DC for module [G Profile-Base Cabinet 2 Shutter 1 Drawer,13396] : Insufficient accessories. Minimum required: 2 got 0"
215,13397,GP-H2S1DR-DC,"Error in zone : 5_215_13397_GP-H2S1DR-DC for module [G Profile-Hob Cabinet 2 Shutter 1 Drawer,13397] : Insufficient accessories. Minimum required: 2 got 0"
233,13419,GP-T1BDR1TSTWO-DC,"Error in zone : 3_233_13419_GP-T1BDR1TSTWO-DC for module [G Profile-Tall Unit 1 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13419] : Insufficient accessories. Minimum required: 3 got 2"
236,13422,GP-T2BDR1TSTWO-DC,"Error in zone : 6_236_13422_GP-T2BDR1TSTWO-DC for module [G Profile-Tall Unit 2 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13422] : Insufficient accessories. Minimum required: 3 got 2"
