s.no,moduleId,moduleName,errorMessage
222,12068,GP-OB-WB-1BD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
223,12070,GP-OB-WB-2BD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
224,12071,GP-OB-WB-2TD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
237,12090,GP-OB-WB-1TD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
211,12045,GP-H4DR,"Error in zone : 1_211_12045_GP-H4DR for module [G Profile-Hob Cabinet 4 Drawer,12045] : Insufficient accessories. Minimum required: 4 got 0"
373,11466,OB-WB-2TD-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
370,11463,OB-WB-1BD-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
372,11465,OB-WB-2BD-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
371,11464,OB-WB-1TD-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
324,10719,B1SPO-NBB-SE,"Selected Width is 300, Which is outside the allowable limits (Min = 150, Max = 200)"
324,10719,B1SPO-NBB-SE,"Error in zone : 5_324_10719_B1SPO-NBB-SE for module [Semi Modular Base Bottle pull out -No Bottom No Back Shutter Extension,10719] : Insufficient accessories. Minimum required: 1 got 0"
337,10737,B1SPO-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
338,10738,B1SPO-Regular-SE,"Selected Width is 300, Which is outside the allowable limits (Min = 150, Max = 200)"
337,10737,B1SPO-Regular,"Error in zone : 8_337_10737_B1SPO-Regular for module [Semi Modular Base Bottle pull out -Regular,10737] : Insufficient accessories. Minimum required: 1 got 0"
338,10738,B1SPO-Regular-SE,"Error in zone : 9_338_10738_B1SPO-Regular-SE for module [Semi Modular Base Bottle pull out -Regular-Shutter Extesion,10738] : Insufficient accessories. Minimum required: 1 got 0"
363,11435,OB-WB-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
363,11435,OB-WB-Regular,"Error in zone : 4_363_11435_OB-WB-Regular for module [Semi Modular Open Base Cabinet With Wicker Basket,11435] : Insufficient accessories. Minimum required: 1 got 0"
385,11501,Gola-B1SPO-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
400,11703,Gola-OB-WB-1TD-Regular,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
385,11501,Gola-B1SPO-Regular,"Error in zone : 3_385_11501_Gola-B1SPO-Regular for module [Semi Modular Gola Base Bottle pull out-Regular,11501] : Insufficient accessories. Minimum required: 1 got 0"
413,11723,Gola-B1SPO-NBB - v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
