s.no,moduleId,moduleName,errorMessage
400,13621,Gola-OB-WB-1TD-Regular-DC,"Error in zone : 3_400_13621_Gola-OB-WB-1TD-Regular-DC for module [Semi Modular Gola  Kitchen Base Open Cabinet With 1 Wicker Basket 1 Top Drawer-Regular,13621] : Insufficient accessories. Minimum required: 1 got 0"
319,13540,B2DR-NBB-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
320,13541,B3DR-NBB-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
321,13542,B1S1DR-NBB-DC,"Selected Depth is 500, Which is outside the allowable limits (Min = 540, Max = 580)"
322,13543,B2S1DR-NBB-DC,"Selected Depth is 450, Which is outside the allowable limits (Min = 540, Max = 580)"
319,13540,B2DR-NBB-DC,"Error in zone : 4_319_13540_B2DR-NBB-DC for module [Semi Modular Base 2 Drawer- No Bottom No Back,13540] : Insufficient accessories. Minimum required: 2 got 0"
320,13541,B3DR-NBB-DC,"Error in zone : 5_320_13541_B3DR-NBB-DC for module [Semi Modular Base 3 Drawer- No Bottom No Back,13541] : Insufficient accessories. Minimum required: 3 got 0"
322,13543,B2S1DR-NBB-DC,"Error in zone : 7_322_13543_B2S1DR-NBB-DC for module [Semi Modular Base 2 Shutter 1 drawer - No Bottom No Back,13543] : Insufficient accessories. Minimum required: 2 got 0"
329,13550,B1S1DR-SE1-DC,"Selected Depth is 500, Which is outside the allowable limits (Min = 540, Max = 580)"
333,13554,B2DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
333,13554,B2DR-Regular-DC,"Error in zone : 8_333_13554_B2DR-Regular-DC for module [Semi Modular Base 2 Drawer- Regular,13554] : Insufficient accessories. Minimum required: 2 got 0"
378,13599,Gola-B2DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
376,13597,Gola-B2S1DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
374,13595,Gola-B1DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
374,13595,Gola-B1DR-Regular-DC,"Error in zone : 6_374_13595_Gola-B1DR-Regular-DC for module [Semi Modular Gola Base 1 Drawer-Regular,13595] : Insufficient accessories. Minimum required: 1 got 0"
376,13597,Gola-B2S1DR-Regular-DC,"Error in zone : 8_376_13597_Gola-B2S1DR-Regular-DC for module [Semi Modular Gola Base 2 Shutter 1 Drawer-Regular,13597] : Insufficient accessories. Minimum required: 2 got 0"
378,13599,Gola-B2DR-Regular-DC,"Error in zone : 10_378_13599_Gola-B2DR-Regular-DC for module [Semi Modular Gola Base 2 Drawer-Regular,13599] : Insufficient accessories. Minimum required: 2 got 0"
344,13565,BF&2S-DC,"Selected Height is 400, Which is outside the allowable limits (Min = 500, Max = 900)"
379,13600,Gola-B3DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
379,13600,Gola-B3DR-Regular-DC,"Error in zone : 1_379_13600_Gola-B3DR-Regular-DC for module [Semi Modular Gola Base 3 Drawer-Regular,13600] : Insufficient accessories. Minimum required: 3 got 0"
