Module_Id,Module_Name,TotalPrice,CabinetPrice,TotalInternalPrice,HardwarePrice,Internal_ID1,Internal_Name1,Internal Price1,Internal_ID2,Internal_Name2,Internal Price2,Internal_ID3,Internal_Name3,Internal Price3
14100,F2C-CS2-DC,118585.40000000005,98931.18000000005,14757.600000000004,4896.620000000001,17775,3DF2C-M-2ID1FS3RS1HV-450D-DC,14757.600000000004,,,,,,
14100,F2C-CS2-DC,128524.37000000005,95111.19000000005,26445.440000000006,6967.740000000001,17780,3DF2C-R-3ID1FS2RS-450D-300H-DC,26445.440000000006,,,,,,
14100,F2C-CS2-DC,124301.24000000005,95111.19000000005,23277.61,5912.4400000000005,17783,3DF2C-R-3OD1FS2RS-450D-250H-DC,23277.61,,,,,,
14100,F2C-CS2-DC,117868.74000000005,98931.18000000005,16233.280000000002,2704.28,17786,3DF2C-R-1ID1FS5RS1HV-450D-DC,16233.280000000002,,,,,,
14100,F2C-CS2-DC,122457.04000000005,95111.19000000005,21433.41,5912.4400000000005,17782,3DF2C-L-3OD1FS2RS-450D-250H-DC,21433.41,,,,,,
14100,F2C-CS2-DC,130441.70000000004,95111.19000000005,27547.369999999995,7783.14,17777,3DF2C-R-4OD1FS2RS-450D-200H+200H+200H+150H-DC,27547.369999999995,,,,,,
14100,F2C-CS2-DC,128548.87000000004,95111.19000000005,26422.539999999994,7015.140000000001,17781,3DF2C-M-3ID1FS2RS-450D-300H-DC,26422.539999999994,,,,,,
14100,F2C-CS2-DC,121594.96000000005,95111.19000000005,20523.93,5959.840000000001,17784,3DF2C-M-3OD1FS2RS-450D-250H-DC,20523.93,,,,,,
14100,F2C-CS2-DC,127432.26000000004,95111.19000000005,24490.53,7830.540000000001,17778,3DF2C-M-4OD1FS2RS-450D-200H+200H+200H+150H-DC,24490.53,,,,,,
14100,F2C-CS2-DC,116844.18000000005,98931.18000000005,15208.720000000005,2704.28,17785,3DF2C-L-1ID1FS5RS1HV-450D-DC,15208.720000000005,,,,,,
14100,F2C-CS2-DC,126680.17000000006,95111.19000000005,24601.24,6967.740000000001,17779,3DF2C-L-3ID1FS2RS-450D-300H-DC,24601.24,,,,,,
14099,F2C-CS1-DC,125942.17000000003,76764.48000000004,31402.239999999998,17775.45,18175,2DF2C-L-3ID4FS-400QD-300H-DC,31402.239999999998,,,,,,
14099,F2C-CS1-DC,90400.35000000002,74672.37000000001,10954.600000000002,4773.38,18151,2DF2C-R-2ID2FS1RS-450D-DC,10954.600000000002,,,,,,
14099,F2C-CS1-DC,136125.06999999995,69988.02999999998,47889.55999999999,18247.479999999996,17907,2DF2C-L-4ID1FS2RS-400D-300H+200H+200H+200H-DC,23944.779999999995,17908,2DF2C-R-4ID1FS2RS-400D-300H+200H+200H+200H-DC,23944.779999999995,,,
14100,F2C-CS2-DC,131700.97000000006,95111.19000000005,27348.799999999996,9240.979999999998,17766,3DF2C-M-4ID1FS2RS-450D-300H+200H+200H+200H-DC,27348.799999999996,,,,,,
14100,F2C-CS2-DC,131686.40000000005,95111.19000000005,27381.63000000001,9193.579999999998,17765,3DF2C-R-4ID1FS2RS-450D-300H+200H+200H+200H-DC,27381.63000000001,,,,,,
14099,F2C-CS1-DC,125404.94000000005,81675.70000000004,26231.409999999996,17497.829999999998,18171,2DF2C-R-3ID4FS-450QD-300H-DC,26231.409999999996,,,,,,
14099,F2C-CS1-DC,87009.56999999999,69988.02999999998,12283.080000000002,4738.46,18155,2DF2C-L-2ID2FS1RS-400D-DC,12283.080000000002,,,,,,
14100,F2C-CS2-DC,203007.19000000003,95111.19000000005,80267.86000000002,27628.139999999996,17766,3DF2C-M-4ID1FS2RS-450D-300H+200H+200H+200H-DC,27348.799999999996,17765,3DF2C-R-4ID1FS2RS-450D-300H+200H+200H+200H-DC,27381.63000000001,17764,3DF2C-L-4ID1FS2RS-450D-300H+200H+200H+200H-DC,25537.430000000004
14099,F2C-CS1-DC,125942.17000000003,76764.48000000004,31402.239999999998,17775.45,18176,2DF2C-R-3ID4FS-400QD-300H-DC,31402.239999999998,,,,,,
14099,F2C-CS1-DC,125404.94000000005,81675.70000000004,26231.409999999996,17497.829999999998,18170,2DF2C-L-3ID4FS-450QD-300H-DC,26231.409999999996,,,,,,
