s.no,moduleId,moduleName,errorMessage
83,12453,DW-CES- 4DROS-v1,"Selected DW-CES- 4DROS-v1 is not applicable for HOMELANE"
84,12452,DW-CES-2DROS-v1,"Selected DW-CES-2DROS-v1 is not applicable for HOMELANE"
85,12451,DW-CES-3DR-v1,"Selected DW-CES-3DR-v1 is not applicable for HOMELANE"
86,12501,DW-CES-3DRTOS,"Selected DW-CES-3DRTOS is not applicable for HOMELANE"
94,11370,DW-ST1FS1FR,"Selected shutter design is invalid for No Shutter or Selected Variant-shade is not applicable to the design"
41,11556,DW-C-T1GS1DR1S,"Selected shutter design is invalid for Plain Shutter or Selected Variant-shade is not applicable to the design"
42,11559,DW-C-T2GS2DR2S,"Selected shutter design is invalid for Plain Shutter Left or Selected Variant-shade is not applicable to the design"
43,11558,DW-C-T2GS2S,"Selected shutter design is invalid for Plain Shutter Left or Selected Variant-shade is not applicable to the design"
88,12500,DW-CES-6DR,"Selected DW-CES-6DR is not applicable for HOMELANE"
59,11824,DW-F-4SWL,"Selected shutter design is invalid for Base Plain Shutter Left or Selected Variant-shade is not applicable to the design"
60,11821,DW-F-B1S1DRWL,"Selected shutter design is invalid for Drawer Facia 1 or Selected Variant-shade is not applicable to the design"
106,11828,DW-VW1SMP,"Selected core is invalid for Plain Shutter"
107,12461,DW-VW1SMPR,"Selected core is invalid for Plain Shutter"
98,12475,DW-ST2DRBTM-Left,"Replace this module with new module to support Inset/Inline skirting."
99,12476,DW-ST2DRBTM-Right,"Replace this module with new module to support Inset/Inline skirting."
