Module_Id,Module_Name,TotalPrice,CabinetPrice,TotalInternalPrice,HardwarePrice,Internal_ID1,Internal_Name1,Internal Price1
13737,HW-2S-S-DC,56603.869999999995,31554.25,6196.14,18853.48,16995,HW1FS2RS1HR-2S-DC,6196.14
13737,HW-2S-S-DC,61455.81,33587.82,6723.0599999999995,21144.93,17006,HW3FS1HR-2S-DC,6723.0599999999995
13738,HW1ED-2S-S-DC,93357.64,32173.299999999996,32144.21,29040.13,17119,HW1ED2ID2FS2RS-2S-450-300H(ED)-200H-DC,32144.21
13737,HW-2S-S-DC,53087.270000000004,31554.25,2066.54,19466.48,16992,HW1FS2HR-2S-DC,2066.54
13737,HW-2S-S-DC,66742.21999999999,31554.25,12851.789999999997,22336.179999999997,16987,HW1ID1FS1RS1HR-2S-DC,12851.789999999997
13737,HW-2S-S-DC,71735.4,31554.25,16881.089999999997,23300.059999999998,16997,HW1ID1FS3RS1HV1HR-2S-DC,16881.089999999997
13737,HW-2S-S-DC,74571.35,33587.82,13549.31,27434.22,17001,HW1ID2FS1HR-2S-QD-DC,13549.31
13733,HW1ED-1S-S-DC,61124.2,23170.29,17594.519999999997,20359.389999999996,15507,HW1ED1ID2FS2RS-1S-450-DC,17594.519999999997
13739,HW2ED-2S-S-DC,87291.61,32045.370000000003,25989.15,29257.09,17128,HW2ED1ID2FS2RS-2S-450-300H(ED)-200H-DC,25989.15
13732,HW-1S-S-DC,36603.86,22582.46,1368.65,12652.75,15476,HW1FS2HR-1S-DC,1368.65
13739,HW2ED-2S-S-DC,103186.48,32045.370000000003,38597.51,32543.599999999995,17133,HW2ED2ID2FS2RS-2S-450-300H(ED)-200H-DC,38597.51
null,null,81732.88,31554.25,29379.750000000004,20798.879999999997,16991,HW3OD1FS1HR-2S-250H(OD)-DC,29379.750000000004
null,null,126565.56999999998,33587.82,44261.65999999999,48716.09,17004,HW4ID3FS-2S-QD-300H(200H)-DC,44261.65999999999
13737,HW-2S-S-DC,106270.85,31554.25,42100.600000000006,32616.0,16993,HW4ID1FS2RS-2S-300H(200H)-DC,42100.600000000006
13737,HW-2S-S-DC,85340.79000000001,31554.25,32987.66,20798.879999999997,16990,HW3ID1FS1HR-2S-300H-DC,32987.66
13733,HW1ED-1S-S-DC,71839.29,23170.29,25341.120000000006,23327.879999999994,15512,HW1ED2ID2FS2RS-1S-450-DC,25341.120000000006
13733,HW1ED-1S-S-DC,58792.24,23170.29,14860.72,20761.229999999996,15506,HW1ED1ID2FS1HR-1S-450-DC,14860.72
13734,HW2ED-1S-S-DC,79767.26,23758.12,29170.2,26838.939999999995,15522,HW2ED2ID2FS2RS-1S-450-DC,29170.2
13734,HW2ED-1S-S-DC,77416.34,23758.12,26436.399999999998,27221.819999999996,15521,HW2ED2ID2FS1HR-1S-450-DC,26436.399999999998
13732,HW-1S-S-DC,54723.76,24616.02,13944.77,16162.970000000001,15486,HW1ID1FS3RS-1S-DC,13944.77
13732,HW-1S-S-DC,52089.0,24616.02,10862.009999999998,16610.97,15482,HW1ID1FS1RS1HR-1S-DC,10862.009999999998
13734,HW2ED-1S-S-DC,69142.54999999999,23758.12,22127.25,23257.179999999997,15518,HW2ED1ID2FS2RS-1S-450-DC,22127.25
13737,HW-2S-S-DC,79637.23000000001,33587.82,17753.07,28296.340000000004,17008,HW1ID2FS2RS1HV1HR-2S-QD-DC,17753.07
13733,HW1ED-1S-S-DC,68784.72,23170.29,21903.670000000002,23710.759999999995,15511,HW1ED2ID2FS1HR-1S-450-DC,21903.670000000002
13732,HW-1S-S-DC,74052.54000000001,24616.02,25665.810000000005,23770.71,15502,HW3ID1FS1HR-1S-DC,25665.810000000005
