s.no,moduleId,moduleName,errorMessage
124,11219,Gola-W2S-430D,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
132,11269,Non-Gola-W1TL PO,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
132,11269,Non-Gola-W1TL PO,"Error in zone : 10_132_11269_Non-Gola-W1TL PO for module [Non-Gola Wall Cabinet 1 Shutter Top Lift Up Push To Open,11269] : Insufficient accessories. Minimum required: 1 got 0"
198,12016,GP-SBBC1SWB- Right-150,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
199,12019,GP-BBCG1S-Right-150,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
200,12031,GP-W1TL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
200,12031,GP-W1TL,"Error in zone : 8_200_12031_GP-W1TL for module [G Profile-Wall Cabinet 1 Shutter Top Lift Up,12031] : Insufficient accessories. Minimum required: 1 got 0"
139,11535,Gola-W1TL-430D,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
140,11536,Non-Gola-W1TL PO-430D,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
145,11623,WBC-Left-PO-300W-S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
146,11626,WBC-Right-PO-300W-S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
139,11535,Gola-W1TL-430D,"Error in zone : 1_139_11535_Gola-W1TL-430D for module [Gola Wall Cabinet 1 Shutter Top Lift Up,11535] : Insufficient accessories. Minimum required: 1 got 0"
140,11536,Non-Gola-W1TL PO-430D,"Error in zone : 2_140_11536_Non-Gola-W1TL PO-430D for module [Non-Gola Wall Cabinet 1 Shutter Top Lift Up Push To Open-430D,11536] : Insufficient accessories. Minimum required: 1 got 0"
133,11270,W1TL PO,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
134,11278,BEP-Bottom End Panel,"Selected Width is 2400, Which is outside the allowable limits (Min = 200, Max = 950)"
136,11528,W1TL-430,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
137,11529,W1TL PO-430D,"Selected Depth is 300, Which is outside the allowable limits (Min = 335, Max = 430)"
135,11448,BBOHM,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
133,11270,W1TL PO,"Error in zone : 6_133_11270_W1TL PO for module [Wall Cabinet 1 Shutter Top Lift Up Push To Open,11270] : Insufficient accessories. Minimum required: 1 got 0"
136,11528,W1TL-430,"Error in zone : 9_136_11528_W1TL-430 for module [Wall Cabinet 1 Shutter Top Lift Up-430D,11528] : Insufficient accessories. Minimum required: 1 got 0"
137,11529,W1TL PO-430D,"Error in zone : 10_137_11529_W1TL PO-430D for module [Wall Cabinet 1 Shutter Top Lift Up Push To Open-430D,11529] : Insufficient accessories. Minimum required: 1 got 0"
175,11961,GP-H1S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
178,11964,GP-SBBC1S- Left,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
179,11965,GP-SBBC1S- Right,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
181,11967,GP-B2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
182,11968,GP-H2S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
180,11966,GP-SBBC1SWB- Right,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
143,11620,WBC-Left -300W-S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
144,11621,WBC-Right-300W-S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
166,11946,GP-BBCG1S-Right,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
169,11954,GP-WBC-Left,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
168,11953,GP-WAQ1S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
170,11955,GP-WBC-Right,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
125,11246,BEP For Tall Modules,"Selected Height is 2400, Which is outside the allowable limits (Min = 1800, Max = 2250)"
291,12323,SBBC1S- Left-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
292,12324,SBBC1SWB- Left-150-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
293,12325,SBBC1S- Right-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
295,12327,SBBC1SWB- Right-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
294,12326,SBBC1SWB- Left-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
287,12319,Gola-SBBC1SWB- Left-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
289,12321,Gola-SBBC1SWB- Right-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
296,12342,Gola-SBBC1SWB- Right-150-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
297,12343,Gola-SBBC1SWB- Left-150-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
281,12299,SBBC1S- Left-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
283,12303,SBBC1SWB- Left-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
282,12301,SBBC1S- Right-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
284,12304,SBBC1SWB- Right-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
290,12322,SBBC1SWB- Right-150-450W-S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
244,12107,GP-WDL,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
247,12110,GP-WBC-Left -300W-S,"Selected Depth is 300, Which is outside the allowable limits (Min = 330, Max = 330)"
248,12111,GP-WBC-Right-300W-S,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
250,12117,GP-SBBC1SWB- Right-150-450W-S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
244,12107,GP-WDL,"Error in zone : 4_244_12107_GP-WDL for module [G Profile-Wall Cabinet 2 Shutter Dual Lift Up,12107] : Insufficient accessories. Minimum required: 1 got 0"
252,12119,GP-SBBC1SWB- Left-150-450W-S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
225,12074,GP-B1S-WB,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
226,12076,GP-G2S-150,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
223,12070,GP-OB-WB-2BD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
224,12071,GP-OB-WB-2TD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
222,12068,GP-OB-WB-1BD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
264,12255,Gola-H1S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
265,12256,Gola-H2S-v1,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
280,12298,Gola-SBBC1S- Right-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
278,12296,Gola-SBBC1S- Left-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
201,12032,GP-SBBC1SWB- Left,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
202,12033,GP-BBCG1S-Left,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
204,12035,GP-SBBC1S- Right-450W-S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
207,12038,GP-SBBC1SWB- Left-450W-S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
209,12040,GP-SBBC1SWB- Right-450W-S,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
240,12096,GP-BBCG1S-Left-150,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
239,12094,GP-SBBC1SWB- Left-150,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
237,12090,GP-OB-WB-1TD,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
257,12241,H1S-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
258,12242,H2S-v1,"Selected Width is 1200, Which is outside the allowable limits (Min = 600, Max = 900)"
270,12288,SBBC1SWB- Right-150-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
271,12289,SBBC1SWB- Left-150-v1,"Selected Depth is 540, Which is outside the allowable limits (Min = 560, Max = 560)"
